gauge_id;ghi_stn_id;cwc_site_name;river_basin;cwc_river;ghi_group;flow_availability
15007;wfrs_ayila;Ayilam;WFRS;Vamanapuram;G1;93.18
15008;wfrs_bantw;Bantwal;WFRS;Nethravathi;G1;92.22
15009;wfrs_erinj;Erinjipuzha;WFRS;Payaswani;G1;81.48
15010;wfrs_halad;Halady;WFRS;Halady;G1;80.76
15011;wfrs_kalam;Kalampur;WFRS;Muvattupuzha/Kaliyar;G1;77.61
15012;wfrs_kallo;Kallooppara;WFRS;Pampa/Manimala;G1;80.12
15013;wfrs_karat;Karathodu;WFRS;Kadalundi;G1;76.39
15014;wfrs_kidan;Kidangoor;WFRS;Meenachil;G1;80.9
15015;wfrs_konda;Kondazhy;WFRS;Gayatri;G2;0.01
15016;wfrs_kumbi;Kumbidi;WFRS;Bharathapuzha;G1;89.83
15017;wfrs_kuniy;Kuniyil;WFRS;Chaliyar;G1;91.28
15018;wfrs_kuzhi;Kuzhithurai;WFRS;Thambraparni;G1;41.23
15019;wfrs_malak;Malakkara;WFRS;Pampa;G1;80.44
15020;wfrs_manka;Mankara;WFRS;Bharathapuzha;G2;80.93
15021;wfrs_neele;Neeleswaram;WFRS;Periyar;G1;94.57
15022;wfrs_patta;Pattazhy;WFRS;Kallada;G1;95.12
15023;wfrs_perum;Perumannu;WFRS;Valapatnam;G1;81.08
15024;wfrs_pulam;Pulamanthole;WFRS;Bharathapuzha/Pulanthodu;G1;79.61
15025;wfrs_pulik;Pulikukku;WFRS;Kumaradhara;G2;0.06
15026;wfrs_ramam;Ramamangalam;WFRS;Muvattupuzha;G1;94.42
15027;wfrs_thir1;Thiruvarambu;WFRS;Kodayar;G2;0.02
15028;wfrs_thir2;Thiruvattar;WFRS;Paraliyar;G2;0.01
15029;wfrs_thott;Thottathinkadavu;WFRS;Iruvazhinjipuzha;G2;0.0
15030;wfrs_thump;Thumpamon;WFRS;Pamba/Achankovil;G1;93.59
15031;wfrs_vandi;Vandiperiyar;WFRS;Periyar;G1;43.51
15032;wfrs_yenne;Yennehole;WFRS;Swarna;G1;70.67
16001;efrn_anaka;Anakapalle;EFRN;Sarada;G1;65.24
16002;efrn_gotta;Gotta Barrage;EFRN;Vamsadhara;G2;0.0
16003;efrn_gudar;Gudari;EFRN;Vamsadhara;G1;0.0
16004;efrn_gunup;Gunupur;EFRN;Vamsadhara;G2;55.49
16005;efrn_jagag;Jagaguda;EFRN;Nagavali;G2;0.0
16006;efrn_janjh;Janjhavati Rd. Bridge;EFRN;Nagavali;G2;0.0
16007;efrn_kashi;Kashinagar;EFRN;Vamsadhara;G2;93.21
16008;efrn_kutra;Kutragada;EFRN;Vamsadhara;G1;0.0
16009;efrn_mahen;Mahendragarh;EFRN;Vamsadhara/B adajore;G2;0.0
16010;efrn_marel;Marella;EFRN;Gundlakamma;G2;6.19
16011;efrn_mohan;Mohana;EFRN;Vamsadhara/Harbhangi;G2;0.0
16012;efrn_purus;Purushottampur;EFRN;Rushikulya;G1;66.46
16013;efrn_sorad;Sorada;EFRN;Rushikulya;G2;0.0
16014;efrn_srika;Srikakulam;EFRN;Nagavali;G1;69.1
16015;efrn_vikki;Vikkiralapeta;EFRN;Paleru;G2;3.67
17001;efrs_ambas;Ambasamudram;EFRS;Vaigai;G1;44.62
17002;efrs_arcot;Arcot;EFRS;Palar;G2;19.37
17003;efrs_avara;Avarankuppam;EFRS;Palar;G1;90.02
17004;efrs_ayala;Ayalambedu;EFRS;Nandiyu;G2;0.0
17005;efrs_cheng;Chengalpet;EFRS;Palar;G1;43.12
17006;efrs_gumma;Gummanur;EFRS;Ponnaiyar;G1;94.9
17007;efrs_irruk;Irrukkankudi;EFRS;VVaigai/Vaippar;G1;66.93
17008;efrs_kalpa;Kalpadai;EFRS;Gomukhi Nadi (North);G2;0.43
17009;efrs_kudal;Kudalaiyathur;EFRS;Vellar;G1;65.0
17010;efrs_maniy;Maniyampattu;EFRS;Varahanadi;G2;0.0
17011;efrs_murap;Murappanadu;EFRS;Tambraparni;G1;93.88
17012;efrs_naidu;Naidupet;EFRS;Swarnamukhi;G1;89.86
17013;efrs_naras;Narasingarayampet;EFRS;Poini;G2;0.0
17014;efrs_palla;Pallamala;EFRS;Kalingi;G2;0.12
17015;efrs_param;Paramakudi;EFRS;Vaigai;G1;91.33
17016;efrs_pattu;Pattukottai;EFRS;Maharajasamudram;G2;0.31
17017;efrs_puduv;Puduvayal;EFRS;Araniyar;G2;0.0
17018;efrs_singa;Singasadanapalli;EFRS;Ponnaiyar;G2;0.68
17019;efrs_theni;Theni;EFRS;Vaigai/Suruliar;G1;94.33
17020;efrs_thir1;Thirunavalur;EFRS;Gadilam;G2;0.0
17021;efrs_thir2;Thiruvalam;EFRS;Poiny;G2;0.0
17022;efrs_vazha;Vazhavachanur;EFRS;Ponnaiyar;G1;90.83
17023;efrs_verup;Verupakshapuram;EFRS;Swarnamukhi;G2;0.0
17024;efrs_villu;Villupuram;EFRS;Ponnaiyar;G1;89.2
17025;efrs_vkall;V.Kallathur;EFRS;Malattar;G2;0.01
